fuel_type,generators,facilities,named_capacity_megawatts,summer_capacity_megawatts,us_state,in_year
Solar Thermal and Photovoltaic,2,2,2,2.4,KS,2016
Other,2,2,4,1.6,KS,2016
Coal,86,30,31203.4,26185.6,KY,2016
Hydroelectric Conventional,72,18,2033.2,2136.8,KY,2016
Natural Gas,106,28,14653.8,11799.2,KY,2016
Other Biomass,46,16,40.8,39.8,KY,2016
Petroleum,14,2,23,23.8,KY,2016
Solar Thermal and Photovoltaic,2,2,20,20,KY,2016
Wood and Wood Derived Fuels,6,4,186,104.6,KY,2016
Natural Gas,368,120,40741.2,33921.4,LA,2016
Coal,10,8,6340.4,5705.8,LA,2016
Nuclear,4,4,4471.4,4265.8,LA,2016
Petroleum,20,14,2092.4,1874.8,LA,2016
Hydroelectric Conventional,16,2,384,384,LA,2016
Other Biomass,6,4,30.2,27.8,LA,2016
Other,36,20,742.2,592.2,LA,2016
Other Gases,14,4,951.8,814.8,LA,2016
Wood and Wood Derived Fuels,24,14,950,819.6,LA,2016
Natural Gas,190,74,13792.2,11418.6,MA,2016
Petroleum,152,54,6663,6036.8,MA,2016
Hydroelectric Conventional,150,58,537.8,531.8,MA,2016
Other Biomass,48,28,680.6,534.6,MA,2016
Solar Thermal and Photovoltaic,372,362,967.2,954,MA,2016
Wind,56,42,192.8,189,MA,2016
Coal,6,2,2249.2,2076,MA,2016
Nuclear,2,2,1340,1354.4,MA,2016
Pumped Storage,12,4,3080,3536,MA,2016
Wood and Wood Derived Fuels,2,2,36,32,MA,2016
Coal,32,16,10253.6,9424,MD,2016
Natural Gas,106,32,8612.2,7260.8,MD,2016
Other Biomass,80,22,316.8,278.8,MD,2016
Petroleum,110,30,2774.6,2434.6,MD,2016
Solar Thermal and Photovoltaic,86,86,288.8,275.6,MD,2016
Wood and Wood Derived Fuels,4,2,7.6,5.2,MD,2016
Hydroelectric Conventional,26,4,1101.6,1180,MD,2016
Nuclear,4,2,3657.4,3415.6,MD,2016
Other,2,2,22,22,MD,2016
Wind,10,10,380,380,MD,2016
Natural Gas,30,16,3516.4,3123.2,ME,2016
Wood and Wood Derived Fuels,56,34,1665.2,1525.2,ME,2016
Other Biomass,16,10,100.2,82.6,ME,2016
Petroleum,34,12,1835.2,1761.8,ME,2016
Hydroelectric Conventional,458,108,1429.6,1464.8,ME,2016
Other,4,4,77.4,76.4,ME,2016
Wind,36,32,1797.6,1797.6,ME,2016
Coal,82,34,20708.4,18828.4,MI,2016
Natural Gas,380,122,23562,20788.2,MI,2016
Other Biomass,218,54,480.2,445,MI,2016
Other Gases,2,2,500,500,MI,2016
Petroleum,278,86,1215.4,1091.2,MI,2016
Hydroelectric Conventional,454,110,723.2,526,MI,2016
Nuclear,8,6,8628.2,8210.8,MI,2016
Pumped Storage,12,2,3957.6,4206,MI,2016
Solar Thermal and Photovoltaic,12,12,25,25,MI,2016
Wind,50,44,3217.8,2869.6,MI,2016
Wood and Wood Derived Fuels,24,18,749.2,676,MI,2016
Natural Gas,182,70,11570.2,9864.4,MN,2016
Other Biomass,62,28,424.8,326.4,MN,2016
Wood and Wood Derived Fuels,26,14,743.6,635,MN,2016
Other,8,8,46.4,38.8,MN,2016
Petroleum,462,150,1842.4,1590.2,MN,2016
Wind,290,254,6736.4,6718.4,MN,2016
Coal,52,26,9311.4,8617,MN,2016
Hydroelectric Conventional,204,54,430.6,411.8,MN,2016
Nuclear,6,4,3742.4,3314,MN,2016
Solar Thermal and Photovoltaic,108,62,512.4,507.8,MN,2016
Natural Gas,258,84,13811.2,11436.2,MO,2016
Petroleum,384,100,2633.2,2268.4,MO,2016
Coal,76,34,24981.2,23452.2,MO,2016
Solar Thermal and Photovoltaic,18,18,51.4,51.4,MO,2016
Hydroelectric Conventional,40,12,1012,1091.4,MO,2016
Nuclear,2,2,2471.6,2380,MO,2016
Other,2,2,2,2,MO,2016
Other Biomass,24,12,34.4,33,MO,2016
Pumped Storage,18,6,1200.8,1314,MO,2016
Wind,14,14,1318.8,1308.6,MO,2016
Natural Gas,210,58,28550,24827.4,MS,2016
Other,4,2,3.2,2.8,MS,2016
Coal,10,6,4020.6,3640,MS,2016
Nuclear,2,2,2880,2802,MS,2016
Petroleum,24,8,96,88.6,MS,2016
Other Biomass,2,2,3.2,3.2,MS,2016
Solar Thermal and Photovoltaic,2,2,6.2,6.2,MS,2016
Wood and Wood Derived Fuels,20,8,588.6,546.2,MS,2016
Petroleum,2,2,136,104,MT,2016
Coal,18,10,4975.6,4586.2,MT,2016
Hydroelectric Conventional,150,46,5329.2,5495.6,MT,2016
Natural Gas,36,12,949.2,787.6,MT,2016
Wind,26,26,1374.6,1357,MT,2016
Other,16,4,120,88,MT,2016
Other Gases,2,2,3.2,3,MT,2016
Wood and Wood Derived Fuels,2,2,5.6,6,MT,2016
Coal,64,26,22988.4,21491.6,NC,2016
Other Biomass,168,42,190.6,181,NC,2016
Petroleum,222,94,981.6,793.2,NC,2016
Wood and Wood Derived Fuels,30,18,1090,947.2,NC,2016
Hydroelectric Conventional,214,82,3780.8,4004,NC,2016
Solar Thermal and Photovoltaic,868,802,4862.8,4874,NC,2016
Natural Gas,184,36,25220.8,21365,NC,2016
Nuclear,10,6,10789.4,10227.2,NC,2016
Pumped Storage,2,2,190,172,NC,2016
Wind,2,2,416,416,NC,2016
Other,2,2,108,108,NC,2016
Petroleum,30,20,137,124.6,ND,2016
Coal,30,20,8700.2,8445,ND,2016
Hydroelectric Conventional,10,2,1228,1020,ND,2016
Natural Gas,14,6,902,656,ND,2016
Other,2,2,10.6,10.6,ND,2016
Wind,66,60,5656.8,5647.4,ND,2016
Other Biomass,4,2,19.6,19.6,ND,2016
Other Gases,6,2,15,16.8,ND,2016
Other Biomass,34,8,31.4,31.4,NE,2016
Coal,34,20,7965.8,7634.6,NE,2016
Hydroelectric Conventional,38,20,400,351.8,NE,2016
Natural Gas,218,70,4717,4171,NE,2016
Nuclear,2,2,1602,1543,NE,2016
Petroleum,194,72,721.4,625.4,NE,2016
Wind,42,38,2658.8,2659.2,NE,2016
Solar Thermal and Photovoltaic,4,4,12.6,12.6,NE,2016
Other Biomass,20,8,67,62.2,NH,2016
Petroleum,36,16,220,194.2,NH,2016
Coal,8,4,1118.4,1067.8,NH,2016
Hydroelectric Conventional,180,68,849.6,1009.6,NH,2016
Natural Gas,16,8,3629,3270,NH,2016
Wood and Wood Derived Fuels,16,16,486.8,419.8,NH,2016
Nuclear,2,2,2484,2501.8,NH,2016
Wind,8,8,370.6,366.2,NH,2016
Coal,10,8,2686.6,2490,NJ,2016
Natural Gas,292,98,27086.6,24025.8,NJ,2016
Other Biomass,90,34,524.6,454.6,NJ,2016
Petroleum,24,14,552.8,467.6,NJ,2016
Solar Thermal and Photovoltaic,428,360,1227.8,1213.2,NJ,2016
Pumped Storage,6,2,906,840,NJ,2016
Hydroelectric Conventional,14,4,29.4,24.6,NJ,2016
Nuclear,8,6,8361.4,8215.8,NJ,2016
Wind,4,4,18,15.2,NJ,2016
Other,2,2,22.4,22.4,NJ,2016
Other Gases,4,2,60,46.8,NJ,2016
Natural Gas,108,44,7526.8,6580.8,NM,2016
Other Biomass,6,4,11.2,11.2,NM,2016
Wind,38,32,2224.6,2224.6,NM,2016
Coal,14,6,7482.4,6942,NM,2016
Hydroelectric Conventional,20,10,163.4,165.8,NM,2016
Other,6,4,5.2,5.2,NM,2016
Petroleum,40,8,153.6,133.8,NM,2016
Solar Thermal and Photovoltaic,92,86,944.4,942.6,NM,2016
Geothermal,8,2,8,3.2,NM,2016
Natural Gas,188,34,17232.4,14490.4,NV,2016
Solar Thermal and Photovoltaic,120,54,3805.6,3757,NV,2016
Coal,8,6,2207.6,1994.8,NV,2016
Hydroelectric Conventional,34,12,2104.4,2102.8,NV,2016
Other,2,2,15,13,NV,2016
Petroleum,6,2,12,12,NV,2016
Geothermal,142,48,1407,919.4,NV,2016
Other Biomass,8,4,30.4,19.6,NV,2016
Wind,2,2,300,300,NV,2016
Natural Gas,596,186,46714,41708.6,NY,2016
Other Biomass,226,64,868,764.2,NY,2016
Wood and Wood Derived Fuels,8,8,295.4,276,NY,2016
Hydroelectric Conventional,792,322,9355.4,9437.6,NY,2016
Petroleum,320,98,7764.2,7046.2,NY,2016
Solar Thermal and Photovoltaic,78,74,220.6,220.4,NY,2016
Pumped Storage,32,4,2480,2812.2,NY,2016
Coal,30,10,3699.4,3494.8,NY,2016
Nuclear,12,10,11416.2,10798.8,NY,2016
Other,2,2,40,40,NY,2016
Wind,56,46,3657.6,3649.4,NY,2016
Natural Gas,274,80,22119.8,19319.6,OH,2016
Other Gases,20,8,445,374.2,OH,2016
Wood and Wood Derived Fuels,18,8,161,97.8,OH,2016
Other Biomass,146,30,198,190,OH,2016
Petroleum,262,116,1740.8,1564,OH,2016
Solar Thermal and Photovoltaic,32,32,97.6,95,OH,2016
Wind,38,24,1067.8,1067.8,OH,2016
Coal,84,30,32547.6,30363.2,OH,2016
Hydroelectric Conventional,30,10,257.2,203.8,OH,2016
Other,16,14,106,106,OH,2016
Nuclear,4,4,4473.6,4268,OH,2016
Coal,28,14,10742,9731.6,OK,2016
Natural Gas,238,60,30106.6,26470.6,OK,2016
Petroleum,62,26,160.6,148.8,OK,2016
Hydroelectric Conventional,64,20,1618.6,1719.2,OK,2016
Pumped Storage,12,2,518.4,516,OK,2016
Solar Thermal and Photovoltaic,2,2,5,5,OK,2016
Wind,96,88,13309.6,13288.2,OK,2016
Other Biomass,6,4,40,36.8,OK,2016
Wood and Wood Derived Fuels,2,2,136,115.6,OK,2016
Natural Gas,94,26,8661.4,7466.2,OR,2016
Other Biomass,82,24,116.2,112,OR,2016
Wood and Wood Derived Fuels,44,20,588.2,504.8,OR,2016
Coal,2,2,1284.4,1170,OR,2016
Geothermal,8,4,73.4,39,OR,2016
Hydroelectric Conventional,392,130,16902,16846.4,OR,2016
Other,2,2,10,10,OR,2016
Solar Thermal and Photovoltaic,38,38,199.8,199.8,OR,2016
Wind,78,70,6322.4,6320.4,OR,2016
Coal,70,42,28310,25458.6,PA,2016
Natural Gas,304,92,33434.4,30434.6,PA,2016
Other Biomass,284,70,1019.6,913.4,PA,2016
Wood and Wood Derived Fuels,8,8,288.2,242.8,PA,2016
Petroleum,200,76,4320.2,3355.8,PA,2016
Solar Thermal and Photovoltaic,52,46,108.4,101.6,PA,2016
Hydroelectric Conventional,124,34,1839,1799.2,PA,2016
Nuclear,18,10,20970.4,19594,PA,2016
Other,8,8,100.8,100.8,PA,2016
Pumped Storage,22,4,3082,3166,PA,2016
Wind,50,50,2746.8,2743.6,PA,2016
Other Gases,18,8,232,203.6,PA,2016
Natural Gas,48,16,3946.2,3579.2,RI,2016
Petroleum,16,4,32.8,32,RI,2016
Wind,26,18,102,100.6,RI,2016
Hydroelectric Conventional,10,4,5.6,5.4,RI,2016
Other Biomass,18,4,80.8,73.8,RI,2016
Solar Thermal and Photovoltaic,12,12,20.4,20.4,RI,2016
Natural Gas,142,40,13949.4,11493.8,SC,2016
Wood and Wood Derived Fuels,28,18,1067.6,969.4,SC,2016
Hydroelectric Conventional,234,64,2794.4,2723.2,SC,2016
Petroleum,84,32,1408.4,1026.8,SC,2016
Coal,26,12,11053.8,10424,SC,2016
Nuclear,14,8,13750.2,13152.4,SC,2016
Other Biomass,44,20,99.4,92.2,SC,2016
Pumped Storage,32,6,5314.4,5432,SC,2016
Solar Thermal and Photovoltaic,6,6,38.6,38.6,SC,2016
Petroleum,48,26,584.8,439.6,SD,2016
Coal,2,2,900,948,SD,2016
Hydroelectric Conventional,56,10,3468.8,3400,SD,2016
Natural Gas,34,16,2414,1986.6,SD,2016
Wind,30,24,1975.6,1975.6,SD,2016
Solar Thermal and Photovoltaic,2,2,2,2,SD,2016
Natural Gas,170,26,12906,10487.8,TN,2016
Solar Thermal and Photovoltaic,18,16,145.2,140.6,TN,2016
Coal,74,14,16253,14028.6,TN,2016
Hydroelectric Conventional,168,56,4998.8,5237.2,TN,2016
Nuclear,8,4,9961.6,9045.4,TN,2016
Other Biomass,22,8,29.2,28.4,TN,2016
Petroleum,48,6,95.2,86.4,TN,2016
Pumped Storage,8,2,3427.2,3232.6,TN,2016
Wind,8,4,57.6,58.2,TN,2016
Wood and Wood Derived Fuels,12,6,371.4,364,TN,2016
Natural Gas,1300,320,152065.4,135370.6,TX,2016
Other,30,24,593.8,530,TX,2016
Hydroelectric Conventional,94,48,1417.2,1340,TX,2016
Other Biomass,128,34,249,231.4,TX,2016
Petroleum,80,24,245,226,TX,2016
Solar Thermal and Photovoltaic,40,38,1169.6,1162.8,TX,2016
Wind,306,282,40375.6,40363.4,TX,2016
Coal,80,42,49724.8,47178,TX,2016
Wood and Wood Derived Fuels,18,12,679.2,625.6,TX,2016
Nuclear,8,4,10277.2,9920,TX,2016
Other Gases,16,12,554.2,495.8,TX,2016
Other Biomass,24,10,30.2,28.8,UT,2016
Natural Gas,152,44,6457.2,5332.8,UT,2016
Coal,20,12,9788.2,9308,UT,2016
Geothermal,10,6,167.6,146,UT,2016
Hydroelectric Conventional,110,58,524.2,512.8,UT,2016
Other,4,4,82.6,80.4,UT,2016
Petroleum,22,6,58.6,55.6,UT,2016
Solar Thermal and Photovoltaic,58,56,1711.6,1711.6,UT,2016
Wind,10,10,776.4,776.4,UT,2016
Coal,48,20,8109.8,7600.8,VA,2016
Natural Gas,186,54,25589.2,23600.4,VA,2016
Other Biomass,702,48,712.8,628.6,VA,2016
Petroleum,376,80,5515.2,4700,VA,2016
Hydroelectric Conventional,150,50,1644.8,1732,VA,2016
Nuclear,8,4,7308.8,7136,VA,2016
Pumped Storage,18,4,6218.6,6482,VA,2016
Solar Thermal and Photovoltaic,12,12,278,207.2,VA,2016
Wood and Wood Derived Fuels,32,20,1323.6,1156.2,VA,2016
Wood and Wood Derived Fuels,8,6,164.8,145.4,VT,2016
Hydroelectric Conventional,258,94,654.8,658.8,VT,2016
Other,2,2,4,4,VT,2016
Petroleum,26,16,265.8,195.8,VT,2016
Solar Thermal and Photovoltaic,56,56,132,131.4,VT,2016
Wind,8,8,242,240.4,VT,2016
Other Biomass,4,2,6.4,6.4,VT,2016
Natural Gas,88,36,8232.8,6777,WA,2016
Other Biomass,64,10,154,147.4,WA,2016
Petroleum,16,8,31,30.4,WA,2016
Hydroelectric Conventional,566,148,42246,42591.4,WA,2016
Nuclear,2,2,2400,2320,WA,2016
Other,8,6,10.4,10.4,WA,2016
Pumped Storage,12,2,628,628,WA,2016
Solar Thermal and Photovoltaic,2,2,1,1,WA,2016
Wind,48,42,6148,6146.2,WA,2016
Wood and Wood Derived Fuels,38,24,814.8,661.4,WA,2016
Coal,4,2,2919.6,2680,WA,2016
Natural Gas,190,92,15242,13440.6,WI,2016
Other Biomass,184,48,225.4,220.6,WI,2016
Petroleum,200,64,1590.8,1350.8,WI,2016
Coal,48,24,15489.4,14233.4,WI,2016
Hydroelectric Conventional,492,132,1073.8,787.4,WI,2016
Wind,30,24,1275,663,WI,2016
Wood and Wood Derived Fuels,32,18,651.2,551,WI,2016
Nuclear,4,2,2572,2385.2,WI,2016
Solar Thermal and Photovoltaic,4,4,6.2,6.2,WI,2016
Other,6,2,41.6,42.2,WI,2016
Coal,42,22,27021.8,25916,WV,2016
Hydroelectric Conventional,74,24,741.2,699,WV,2016
Natural Gas,36,8,2678.8,2388.6,WV,2016
Other,6,6,131,131,WV,2016
Petroleum,2,2,37,22,WV,2016
Wind,14,12,1372.6,1372.6,WV,2016
Coal,56,24,14508.2,12823.2,WY,2016
Hydroelectric Conventional,64,32,606.8,614.2,WY,2016
Natural Gas,52,20,612.8,521,WY,2016
Petroleum,8,6,11.6,11.6,WY,2016
Wind,62,42,2974.6,2974.6,WY,2016
Other,2,2,23,23,WY,2016
Other Gases,14,6,223.4,220.2,WY,2016
Coal,32,10,227,207.6,AK,2015
Other Biomass,10,2,23,14,AK,2015
Petroleum,720,192,1558.8,1404.6,AK,2015
Hydroelectric Conventional,120,60,891.8,882.2,AK,2015
Natural Gas,124,30,2731.8,2494.6,AK,2015
Other,4,4,60,54,AK,2015
Wind,58,12,121.2,121.2,AK,2015
Natural Gas,200,54,27939.6,25129.4,AL,2015
Wood and Wood Derived Fuels,44,24,1436.8,1328.4,AL,2015
Coal,46,14,18811.2,17382.8,AL,2015
Hydroelectric Conventional,206,48,6638.6,6542,AL,2015
Nuclear,10,4,10540.8,10132.8,AL,2015
Petroleum,28,8,95.6,85.2,AL,2015
Other Biomass,10,4,12.8,12.8,AL,2015
Other Gases,14,6,221.6,199.6,AL,2015
Natural Gas,120,36,14565.6,12290,AR,2015
Other Biomass,26,8,56.2,36.2,AR,2015
Coal,14,10,10974,10244.8,AR,2015
Hydroelectric Conventional,98,38,2641.8,2532.4,AR,2015
Nuclear,4,2,3690,3617,AR,2015
Petroleum,18,6,24.6,24.4,AR,2015
Pumped Storage,2,2,56,56,AR,2015
Solar Thermal and Photovoltaic,2,2,24,24,AR,2015
Wood and Wood Derived Fuels,24,10,700.2,588.6,AR,2015
Natural Gas,272,62,32181.6,26763.8,AZ,2015
Petroleum,12,8,256.6,181,AZ,2015
Solar Thermal and Photovoltaic,176,118,3031.2,3045,AZ,2015
Coal,30,12,12836.2,11820,AZ,2015
Hydroelectric Conventional,68,20,5436,5441.8,AZ,2015
Nuclear,6,2,8419.2,7874,AZ,2015
Pumped Storage,12,6,388.2,432.6,AZ,2015
Other Biomass,8,4,12,12,AZ,2015
Wind,10,10,534.6,534.6,AZ,2015
Wood and Wood Derived Fuels,4,4,60.4,49.4,AZ,2015
Coal,8,4,201.4,180,CA,2015
Natural Gas,1386,580,91162.4,83522.4,CA,2015
Other Biomass,414,160,1261.4,1104.4,CA,2015
Wood and Wood Derived Fuels,86,72,1766.2,1540,CA,2015
Hydroelectric Conventional,878,502,20087.2,20372.4,CA,2015
Other,26,22,248.4,233.6,CA,2015
Petroleum,178,30,1079.4,848.2,CA,2015
Pumped Storage,70,18,7502,7738.6,CA,2015
Solar Thermal and Photovoltaic,1158,742,14113.8,14023.4,CA,2015
Wind,264,230,11481.4,11453.6,CA,2015
Geothermal,200,68,5833,3868.4,CA,2015
Nuclear,4,2,4646,4480,CA,2015
Other Gases,28,16,516,418.6,CA,2015
Natural Gas,250,62,14751.2,12209.6,CO,2015
Other Biomass,22,6,42.8,32.2,CO,2015
Hydroelectric Conventional,120,84,1322.2,1353,CO,2015
Solar Thermal and Photovoltaic,74,58,388,384,CO,2015
Wind,68,48,5937.6,5923.6,CO,2015
Coal,48,26,11149.4,10179.6,CO,2015
Petroleum,96,26,405.4,336.8,CO,2015
Pumped Storage,10,6,1017,1125,CO,2015
Other,4,4,21.2,18.6,CO,2015
Wood and Wood Derived Fuels,2,2,22.6,22.6,CO,2015
Natural Gas,128,68,7586.4,6891.8,CT,2015
Petroleum,142,56,5633.6,4960.6,CT,2015
Hydroelectric Conventional,78,28,237,244.4,CT,2015
Coal,2,2,800,766.8,CT,2015
Nuclear,4,2,4325.8,4175.6,CT,2015
Other,2,2,62.6,52,CT,2015
Other Biomass,24,14,419.8,323.4,CT,2015
Pumped Storage,6,2,62,58.8,CT,2015
Solar Thermal and Photovoltaic,6,6,20,20,CT,2015
Wood and Wood Derived Fuels,2,2,86,75,CT,2015
Other Biomass,6,2,28.2,24,DC,2015
Natural Gas,4,2,21.6,18,DC,2015
Natural Gas,62,20,5752.4,5398,DE,2015
Solar Thermal and Photovoltaic,18,14,61.6,61.4,DE,2015
Wind,2,2,4,4,DE,2015
Coal,2,2,891,820,DE,2015
Other Biomass,24,6,24.4,24.4,DE,2015
Petroleum,12,10,243.2,228.2,DE,2015
Other Gases,8,2,280,270,DE,2015
Coal,56,26,23443.8,21182,FL,2015
Natural Gas,636,142,85340.6,73523.4,FL,2015
Other Biomass,142,56,1954,1589,FL,2015
Petroleum,190,42,13675.2,11873.8,FL,2015
Solar Thermal and Photovoltaic,26,26,169.2,164.8,FL,2015
Hydroelectric Conventional,12,4,111.4,109,FL,2015
Nuclear,8,4,7594.4,7144,FL,2015
Wood and Wood Derived Fuels,38,18,1179,988.2,FL,2015
Other,24,12,804.6,697.4,FL,2015
Natural Gas,264,68,37372.8,33199.2,GA,2015
Other Biomass,60,18,74.6,74.6,GA,2015
Petroleum,194,52,2461.2,2165.6,GA,2015
Solar Thermal and Photovoltaic,38,36,482.4,490.4,GA,2015
Coal,34,14,20545.8,19017,GA,2015
Hydroelectric Conventional,196,60,3929.6,4095,GA,2015
Nuclear,8,4,8083.6,8122,GA,2015
Pumped Storage,26,8,3269.2,3724.4,GA,2015
Wood and Wood Derived Fuels,70,30,1871.2,1717,GA,2015
Coal,2,2,406,360,HI,2015
Petroleum,204,38,4119,3735.2,HI,2015
Other Biomass,12,6,512.8,490.2,HI,2015
Hydroelectric Conventional,28,16,52.4,50,HI,2015
Other,8,8,132.2,107.2,HI,2015
Solar Thermal and Photovoltaic,40,18,88.4,88.4,HI,2015
Geothermal,24,2,102,86,HI,2015
Wind,14,14,411.2,411.2,HI,2015
Other Gases,6,2,18,19.2,HI,2015
Other Biomass,50,10,46.4,46.4,IA,2015
Coal,82,40,13733,12411.8,IA,2015
Natural Gas,190,72,6248.2,5397.6,IA,2015
Petroleum,716,208,2341.6,2090.8,IA,2015
Wind,186,146,12628,12268.4,IA,2015
Hydroelectric Conventional,40,6,258.4,289.8,IA,2015
Nuclear,2,2,1359,1202.8,IA,2015
Natural Gas,30,18,2553,2269.8,ID,2015
Other Biomass,60,26,70.6,69.8,ID,2015
Wood and Wood Derived Fuels,8,6,212.4,121.6,ID,2015
Hydroelectric Conventional,354,148,5082.6,5415.4,ID,2015
Petroleum,4,2,10,10.8,ID,2015
Geothermal,2,2,36,20,ID,2015
Wind,64,64,1933.2,1925.4,ID,2015
Coal,12,4,37.8,34.4,ID,2015
Other,2,2,31.8,29.6,ID,2015
Natural Gas,622,156,34748.2,27971.2,IL,2015
Other Biomass,126,46,249.6,220.6,IL,2015
Petroleum,368,76,1608,1360.6,IL,2015
Coal,110,46,33596.4,30219.2,IL,2015
Hydroelectric Conventional,58,18,79.4,68.2,IL,2015
Wind,72,62,7649,7599.6,IL,2015
Solar Thermal and Photovoltaic,10,10,66.2,65.6,IL,2015
Nuclear,22,12,24830.2,23179.2,IL,2015
Other,8,6,145.2,145.2,IL,2015
Other Gases,8,4,235.4,235.4,IL,2015
Coal,128,46,38935.4,34769.8,IN,2015
Natural Gas,172,58,13619.8,11421.8,IN,2015
Other Biomass,152,36,159,149,IN,2015
Petroleum,102,34,1195,1094.6,IN,2015
Wind,28,22,3479.4,3479.4,IN,2015
Hydroelectric Conventional,42,10,184.2,120.8,IN,2015
Other Gases,40,14,1392.4,1176.6,IN,2015
Solar Thermal and Photovoltaic,76,76,259,258.8,IN,2015
Other,4,4,191.2,178,IN,2015
Coal,20,12,9893.4,9374.4,KS,2015
Natural Gas,430,136,10139.4,8715.6,KS,2015
Nuclear,2,2,2535.4,2350,KS,2015
Petroleum,350,100,1258.6,1076.2,KS,2015
Wind,52,48,7147.4,7147.8,KS,2015
Hydroelectric Conventional,22,2,14,14,KS,2015
Other Biomass,18,4,18.4,18,KS,2015
Solar Thermal and Photovoltaic,2,2,2,2,KS,2015
Other,2,2,4,1.6,KS,2015
Coal,90,32,31896.4,26873.4,KY,2015
Hydroelectric Conventional,60,14,1608.2,1674.6,KY,2015
Natural Gas,104,26,14092.8,11279.8,KY,2015
Other Biomass,42,14,35.6,34.8,KY,2015
Petroleum,16,4,215,153.8,KY,2015
Wood and Wood Derived Fuels,6,4,186,104.6,KY,2015
Natural Gas,364,116,45563.2,37882.2,LA,2015
Coal,10,8,6340.4,5710.2,LA,2015
Nuclear,4,4,4471.4,4255.4,LA,2015
Petroleum,20,14,2092.4,1882,LA,2015
Hydroelectric Conventional,16,2,384,384,LA,2015
Other Biomass,6,4,30.2,27.8,LA,2015
Other,32,18,697.8,551.8,LA,2015
Other Gases,14,4,951.8,814.8,LA,2015
Wood and Wood Derived Fuels,32,16,1092.8,962.4,LA,2015
Natural Gas,188,72,13598.4,11263.8,MA,2015
Petroleum,156,56,6935.6,6280.2,MA,2015
Hydroelectric Conventional,150,58,537.8,526.2,MA,2015
Other Biomass,48,28,680.6,534.6,MA,2015
Solar Thermal and Photovoltaic,276,268,687.2,668,MA,2015
Wind,52,38,168.8,165.2,MA,2015
Coal,6,2,2249.2,2142,MA,2015
Nuclear,2,2,1340,1364.6,MA,2015
Other,2,2,4,4,MA,2015
Pumped Storage,12,4,3080,3492,MA,2015
Wood and Wood Derived Fuels,2,2,36,32,MA,2015
Coal,32,16,10253.6,9424,MD,2015
Natural Gas,98,34,7644.2,6641.6,MD,2015
Other Biomass,82,24,319.2,281,MD,2015
Petroleum,126,32,3984.2,3297.8,MD,2015
Solar Thermal and Photovoltaic,52,52,181,167.8,MD,2015
Wood and Wood Derived Fuels,4,2,7.6,5.2,MD,2015
Hydroelectric Conventional,26,4,1101.6,1180,MD,2015
Nuclear,4,2,3657.4,3415.6,MD,2015
Other,2,2,22,22,MD,2015
Wind,10,10,380,380,MD,2015
Natural Gas,30,16,3516.4,3123.2,ME,2015
Wood and Wood Derived Fuels,54,32,1667.8,1535,ME,2015
Other Biomass,16,10,100.2,82.6,ME,2015
Petroleum,34,12,1835.2,1761.8,ME,2015
Hydroelectric Conventional,464,110,1433.6,1457.8,ME,2015
Wind,28,24,1225.6,1225.6,ME,2015
Other,2,2,44,44,ME,2015
Coal,120,52,23913.2,21675,MI,2015
Natural Gas,368,122,22725.6,20381.6,MI,2015
Other Biomass,218,54,480.2,445,MI,2015
Other Gases,2,2,500,500,MI,2015
Petroleum,284,90,1313.4,1180.4,MI,2015
Hydroelectric Conventional,464,112,732.2,661.8,MI,2015
Nuclear,8,6,8628.2,7953,MI,2015
Pumped Storage,12,2,3957.6,3928,MI,2015
Solar Thermal and Photovoltaic,4,4,4,4,MI,2015
Wind,46,44,3059,2720.2,MI,2015
Wood and Wood Derived Fuels,24,18,749.2,676,MI,2015
Natural Gas,182,72,11757.6,10122.2,MN,2015
Other Biomass,62,28,424.8,322,MN,2015
Wood and Wood Derived Fuels,26,14,743.6,631.4,MN,2015
Other,8,8,46.4,38.8,MN,2015
Petroleum,468,150,1858.2,1598.8,MN,2015
Wind,286,250,6495.8,6481.4,MN,2015
Coal,50,24,9296.4,8600.2,MN,2015
Hydroelectric Conventional,204,54,430.6,389.2,MN,2015
Nuclear,6,4,3742.4,3294,MN,2015
Solar Thermal and Photovoltaic,4,4,8,8,MN,2015
Coal,94,40,25867.2,24313,MO,2015
Natural Gas,260,86,13499.2,11164.8,MO,2015
Petroleum,394,102,2646.8,2289.4,MO,2015
Solar Thermal and Photovoltaic,8,8,23,23,MO,2015
Hydroelectric Conventional,40,12,1012,1091.4,MO,2015
Nuclear,2,2,2471.6,2380,MO,2015
Other,2,2,2,2,MO,2015
Other Biomass,24,12,34.4,33,MO,2015
Pumped Storage,18,6,1200.8,1314,MO,2015
Wind,12,12,917,917,MO,2015
Natural Gas,214,58,28740,25086.2,MS,2015
Other,4,2,3.2,2.8,MS,2015
Coal,10,6,4020.6,3640,MS,2015
Nuclear,2,2,2880,2802,MS,2015
Petroleum,24,8,96,88.6,MS,2015
Other Biomass,2,2,3.2,3.2,MS,2015
Wood and Wood Derived Fuels,20,8,588.6,546.2,MS,2015
Petroleum,2,2,136,104,MT,2015
Coal,18,10,4975.6,4586.2,MT,2015
Hydroelectric Conventional,150,46,5255,5515.2,MT,2015
Natural Gas,32,10,912,751.2,MT,2015
Wind,24,24,1324.6,1307,MT,2015
Other,16,4,120,88,MT,2015
Other Gases,2,2,3.2,3,MT,2015
Wood and Wood Derived Fuels,2,2,7.6,6,MT,2015
